Panoplie du Valet Veinard	Collier du Valet Veinard	amulette	200	350	1	0	1	0	0	0	0	80	0	0	0	0	0	20	0	-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	0	20	0	0	0	50	0	0	0	7	0	0	0	0	15	0	0		12	6
Panoplie du Glourseleste	Amulette du Glourseleste	amulette	198	250	1	1	1	0	0	0	50	50	50	0	0	0	10	10	10	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	50	0	0	5	0	0	0	5	0	0	0	0		12	6
Panoplibou	Amibou	amulette	200	350	1	0	1	0	0	0	0	60	0	0	0	0	0	15	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	7	0	0	0	0	0	50	0	0	5	0	0	-10	0	0	15	0	0		12	6
Panoplie d'Ilyzaelle	Amulette d'Ilyzaelle	amulette	200	400	1	0	1	0	0	0	0	80	80	0	0	0	0	15	15	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	30	0	0	0	10	0	0	0	0	0	0	0		12	6
Panoplie des Ravageurs	Torque de Ravageur	amulette	200	400	1	0	1	0	0	0	0	50	50	0	0	0	0	12	12	3	0	30	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	30	0	0	0	0	0	0	5	0	0	0	0		12	6
Panoplie Possedee	Amulette Possedee	amulette	200	400	1	0	1	1	0	50	0	50	0	0	12	12	0	12	0	3	0	30	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0		12	6
Panoplie Ventouse	Kralamansion	amulette	194	350	1	0	2	2	30	0	0	0	0	15	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	10	0	0	0	30	0	0		12	6
Panoplie Quartzesienne	Pendentif Oton	amulette	194	300	1	0	1	0	25	0	0	50	50	0	0	0	0	12	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	40	0	-15	0	0	12	0	0	0	15	0	0		12	6
Panoplie de R'lyugluglu	Pendentif mignon de Koutoulou	amulette	200	400	1	0	0	0	0	0	80	80	0	0	0	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	20	0	0	0	0	40	0	0	0	0	0	0	0	0	15	0	0		12	6
Panoplie de Pol Ouatnos	Amulette de Pol Ouatnos	amulette	200	350	1	1	0	0	70	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	7	25	0	0	0	0	40	0	0	0	0	0	0	0	0	15	0	0		12	6
